번호,k-아파트코드,k-아파트명,"k-단지분류(아파트,주상복합등등)",kapt도로명주소,주소(시도)k-apt주소split,주소(시군구),주소(읍면동),나머지주소,주소(도로명),주소(도로상세주소),k-전화번호,k-팩스번호,단지소개기존clob,단지첨부파일,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,LNNO_ADRES,SCHUL_ADRES,TOTL_NWSTD_CNT,SCHUL_DIST,SCHUL_CROSS,초품아
1155,A15301105,독산동중앙하이츠빌아파트,아파트,서울특별시 금천구 범안로 1136,서울,금천구,독산동,1140,범안로,1136,028587746,028637746,4.0,,분양,위탁관리,계단식,개별난방,7.0,554,(주)중앙건설,"독산동중앙하이츠1,2지역 주택조합",2004-10-27 00:00:00.0,79874.0,47022.0,60953.0,0.0,554.0,0.0,,cafe.daum.net/joongang02중앙하이츠빌(독산),,2026-02-09 05:40:38.0,907-00-29371-1,위탁,단일계약,위탁,3930.64,642.0,의무,2014-12-10 10:20:18.0,Y,N,126.8887269,37.4647875,2013-03-07 09:46:30.0,서울특별시 금천구 독산동 1140,서울특별시 금천구 독산동 1002-5,87.0,,,N
1156,A13790723,신반포5차,아파트,,서울,서초구,잠원동,,,,02-533-6553,02-536-1924,,,분양,위탁관리,복도식,지역난방,5.0,555,한신공영,한신공영,1980-01-31 00:00:00.0,62830.0,57777.0,62830.0,0.0,0.0,555.0,,,,2020-02-17 06:02:50.0,11482606760,위탁,종합계약,위탁,4708.2,292.0,임의,2013-06-03 11:11:40.0,Y,N,127.0079791,37.5152757,2013-03-07 09:46:30.0,,,,,,N
1157,A13816202,가락극동,아파트,서울특별시 송파구 동남로18길 9,서울,송파구,가락동,192번지,동남로18길,9,024037885,024486471,,,분양,위탁관리,혼합식,중앙난방,7.0,555,극동건설(주),극동건설(주),1984-12-10 00:00:00.0,74866.0,61628.0,61628.0,105.0,90.0,210.0,,,,2026-02-08 06:27:45.0,90700316461,위탁,단일계약,위탁,4823.9,821.0,의무,2013-06-13 15:26:07.0,Y,N,127.1326936,37.4957046,2013-03-07 09:46:30.0,서울특별시 송파구 가락동 192,서울특별시 송파구 가락동 163,76.0,,,N
1158,A13822902,잠실우성4차,아파트,서울특별시 송파구 백제고분로18길 30,서울,송파구,잠실동,320번지,백제고분로18길,30,024188104,024188105,,,분양,위탁관리,혼합식,지역난방,7.0,555,우성건설,우성,1983-08-31 00:00:00.0,63327.0,54655.0,61443.0,0.0,106.0,449.0,,,,2026-02-09 06:23:15.0,21582615460,위탁,,위탁,0.0,110.0,의무,2013-05-23 13:53:31.0,Y,N,127.0829428,37.5028243,2013-03-07 09:46:30.0,서울특별시 송파구 잠실동 320,서울특별시 송파구 잠실동 229,56.0,,,N
1159,A13184107,"면목두산4,5단지",아파트,서울특별시 중랑구 사가정로42길 90,서울,중랑구,면목동,면목두산아파트,사가정로42길,90,024368954,024368955,5.0,,분양,위탁관리,혼합식,개별난방,7.0,555,(주)두산,(주)두산건설,2000-09-27 00:00:00.0,83254.0,44489.0,44489.0,204.0,301.0,50.0,,,,2026-02-09 04:27:54.0,204-82-61793,위탁,종합계약,위탁,4691.89,613.0,의무,2016-08-23 19:02:48.0,Y,N,127.0817112,37.578461,2013-03-07 09:46:30.0,서울특별시 중랑구 면목동 1522-1,서울특별시 중랑구 면목동 380,98.0,,,N
1160,A13887405,풍납 현대리버빌1차,아파트,서울특별시 송파구 토성로 37,서울,송파구,풍납동,현대리버빌1차아파트,토성로,37,024764224,024762542,,,분양,위탁관리,혼합식,지역난방,7.0,557,현대건설(주),풍납동 제1지구 재건축 조합,1999-11-15 00:00:00.0,82390.0,48459.0,61602.0,277.0,127.0,45.0,,,,2026-02-09 06:24:25.0,50182608650,위탁,단일계약,위탁,6139.12,633.0,의무,1999-11-15 00:00:00.0,Y,N,127.1153105,37.5307592,2013-03-07 09:46:30.0,서울특별시 송파구 풍납동 260,서울특별시 송파구 풍납동 251,83.0,,,N
1161,A13282510,방학우성2차,아파트,서울특별시 도봉구 해등로 307,서울,도봉구,방학동,,해등로,307,029563282,029563283,71.0,FILE_000000000004995,분양,위탁관리,계단식,개별난방,5.0,558,(주)우성건설,금성연합직장주택조합,1993-09-16 00:00:00.0,68303.0,47417.0,64561.0,0.0,558.0,0.0,,,,2026-02-09 04:43:32.0,,위탁,단일계약,위탁,4886.7,425.0,의무,2013-06-23 14:53:32.0,Y,N,127.0217568,37.6568504,2013-03-07 09:46:30.0,서울특별시 도봉구 방학동 508,서울특별시 도봉구 방학동 514-2,99.0,,,N
1162,A13524006,개포2차 현대아파트,아파트,서울특별시 강남구 언주로 107,서울,강남구,개포동,개포2차현대아파트,언주로,107,025721441,025721431,5.0,FILE_000000000056422,분양,자치관리,계단식,지역난방,13.0,558,현대산업개발(주),현대산업개발(주),1986-01-31 00:00:00.0,92836.0,75527.0,92377.0,0.0,112.0,230.0,,현대2차.apti.co.kr,,2026-02-09 06:13:52.0,1995-012799-1,위탁,단일계약,위탁,95222.29,500.0,의무,2018-05-21 16:39:58.0,Y,N,127.0512551,37.4824869,2013-03-07 09:46:30.0,서울특별시 강남구 개포동 654,서울특별시 강남구 개포동 655,70.0,,,N
1163,A13084101,래미안장안,아파트,서울특별시 동대문구 장한로14길 81,서울,동대문구,장안동,래미안장안아파트,장한로14길,81,0222175384,0222175386,,,분양,위탁관리,계단식,개별난방,8.0,558,삼성건설,재건축조합,2003-04-30 00:00:00.0,88939.0,47734.0,62105.0,82.0,396.0,80.0,,,,2026-02-09 04:24:48.0,91202190171,위탁,단일계약,위탁,4111.01,693.0,의무,2019-06-26 13:55:54.0,Y,N,127.0732291,37.5660182,2013-03-07 09:46:30.0,서울특별시 동대문구 장안동 354-2 래미안,,,,,N
1165,A13611201,래미안길음2차아파트,아파트,서울특별시 성북구 길음로 74,서울,성북구,길음동,(길음동. 길음뉴타운) 래미안길음2차아파트,길음로,74,029131793,029131794,,,분양,위탁관리,계단식,개별난방,11.0,560,삼성물산,삼성물산,2006-06-23 00:00:00.0,90157.0,45717.0,58691.0,201.0,252.0,107.0,,,,2026-02-09 04:36:28.0,907-00-34488-1,위탁,종합계약,위탁,4247.38,688.0,의무,2016-12-22 16:27:47.0,Y,N,127.0242907,37.610374,2013-03-07 09:46:30.0,서울특별시 성북구 길음동 1282,서울특별시 성북구 길음동 1168,165.0,,,N
1166,A15209203,개봉두산,아파트,서울특별시 구로구 남부순환로95길 88,서울,구로구,개봉동,472번지,남부순환로95길,88,0226258527,0267378527,,,분양,위탁관리,혼합식,개별난방,2.0,561,두산건설,화영재건축주택조합,1997-09-12 00:00:00.0,74198.0,46186.0,58284.0,215.0,198.0,148.0,,개봉두산.apti.co.kr,,2026-02-09 05:37:19.0,11385148790,위탁,단일계약,위탁,3307.0,526.0,의무,2013-06-23 11:26:25.0,Y,N,126.8526549,37.4950228,2013-03-07 09:46:30.0,서울특별시 구로구 개봉동 472,서울특별시 구로구 개봉동 266,143.0,,,N
1167,A13924003,공릉한보아파트,아파트,서울특별시 노원구 공릉로46길 19,서울,노원구,공릉동,,공릉로46길,19,029757956,0262277956,600.0,,분양,위탁관리,혼합식,개별난방,7.0,561,(주)한보,(주)한보,2000-10-20 00:00:00.0,69728.0,43876.0,58103.0,232.0,257.0,72.0,,공릉한보.apti.co.kr,,2026-02-09 04:48:03.0,90700313791,위탁,,위탁,19995.0,630.0,의무,2013-05-07 18:49:46.0,Y,N,127.0803885,37.6280802,2013-03-07 09:46:30.0,서울특별시 노원구 공릉동 743 공릉동,,,,,N
1168,A12011002,연희대우,아파트,서울특별시 서대문구 연희로 38-20,서울,서대문구,연희동,연희대우아파트,연희로,38-20,0231418600,0231418602,,,분양,위탁관리,혼합식,개별난방,7.0,562,대우건설(주),대우건설(주),2002-07-30 00:00:00.0,81340.0,45033.0,59498.0,246.0,196.0,120.0,,,,2026-02-09 05:04:58.0,90700036591,위탁,단일계약,위탁,3607.01,637.0,의무,2017-09-01 11:40:47.0,Y,N,126.9295194,37.5615291,2013-03-07 09:46:30.0,서울특별시 서대문구 연희동 739 연희 대우,,,,,N
1169,A13980014,공릉해링턴플레이스(구.효성화운트빌),아파트,서울특별시 노원구 노원로 62,서울,노원구,공릉동,106qjswl,노원로,62,029496295,029496296,,,분양,위탁관리,계단식,지역난방,11.0,564,(주)효성,(주)효성,2000-12-15 00:00:00.0,98819.0,63703.0,79467.0,0.0,0.0,564.0,,,,2026-02-09 04:48:21.0,90700068911,위탁,종합계약,위탁,0.0,0.0,의무,2000-12-15 00:00:00.0,Y,N,127.086808,37.6276076,2013-03-07 09:46:30.0,서울특별시 노원구 공릉동 106,서울특별시 노원구 공릉동 116,102.0,,,N
1170,A15303202,관악벽산2단지,아파트,서울특별시 금천구 금하로 793,서울,금천구,시흥동,,금하로,793,028087361,028087360,,,임대,위탁관리,복도식,개별난방,2.0,564,벽산건설(주),SH공사,2000-02-16 00:00:00.0,30202.0,18443.0,30191.0,564.0,0.0,0.0,,happy.i-sh.co.kr/main.do?deptid=70121,,2026-02-09 05:41:48.0,119-80-00363-0,위탁,단일계약,위탁,1463.9,138.0,임대,2013-06-23 11:16:05.0,Y,N,126.9196921,37.4511267,2013-03-07 09:46:30.0,서울특별시 금천구 시흥동 1010,서울특별시 금천구 시흥동 230,61.0,,,N
1171,A13183204,용마한신,아파트,서울특별시 중랑구 사가정로71길 19,서울,중랑구,면목동,1077-1,사가정로71길,19,024340144,0222073906,,,분양,자치관리,혼합식,개별난방,4.0,565,한신공영,면목3구역 재개발조합,1990-06-28 00:00:00.0,43455.0,30458.0,41858.0,461.0,104.0,0.0,,,,2026-02-09 04:27:44.0,204-82-60800,위탁,종합계약,위탁,0.0,175.0,의무,1990-06-28 00:00:00.0,Y,N,127.0954286,37.5811929,2013-03-07 09:46:30.0,서울특별시 중랑구 면목동 1077-1,서울특별시 중랑구 면목동 583-15,62.0,,,N
1172,A13376702,옥수현대,아파트,서울특별시 성동구 독서당로40길 25,서울,성동구,옥수동,4번지(독서당로 40길 25),독서당로40길,25,0222987353,0222987346,4.0,,분양,위탁관리,혼합식,중앙난방,8.0,566,현대건설,현대건설,1990-05-25 00:00:00.0,64675.0,50322.0,63270.0,22.0,334.0,210.0,,,,2026-02-09 04:16:24.0,20682609370,위탁,단일계약,위탁,6571.41,412.0,의무,1990-05-25 00:00:00.0,Y,N,127.0188915,37.5436054,2013-03-07 09:46:30.0,서울특별시 성동구 옥수동 4,서울특별시 성동구 옥수동 233-16,105.0,,,N
1173,A15703306,등촌주공10단지,아파트,서울특별시 강서구 화곡로63가길 71,서울,강서구,등촌동,702,화곡로63가길,71,0236631041,0236650209,,,분양,위탁관리,복도식,지역난방,5.0,566,거성건설,주택개발공사,1995-10-10 00:00:00.0,41510.0,29857.0,41510.0,566.0,0.0,0.0,,a70324@hanmail.net,,2026-02-09 05:24:08.0,90800743471,위탁,단일계약,위탁,2781.69,394.0,의무,2018-11-30 14:59:04.0,Y,N,126.8483689,37.5623648,2013-03-07 09:46:30.0,서울특별시 강서구 등촌동 702,서울특별시 강서구 등촌동 702-5,71.0,,,N
1174,A13986009,롯데우성,아파트,서울특별시 노원구 노원로22길 34,서울,노원구,중계동,롯데우성아파트,노원로22길,34,029392104,029522038,,,분양,자치관리,계단식,지역난방,8.0,568,"롯데건설,우성건설","롯데건설,우성건설",1993-07-31 00:00:00.0,93285.0,63862.0,77759.0,0.0,0.0,568.0,,,,2026-02-09 04:55:12.0,21082619680,직영,단일계약,위탁,0.0,900.0,의무,2017-04-05 17:19:07.0,Y,N,127.072784,37.6469998,2013-03-07 09:46:30.0,서울특별시 노원구 중계동 361-1,서울특별시 노원구 중계동 360,157.0,,,N
1175,A13485301,강동현대홈타운,아파트,서울특별시 강동구 고덕로27길 36,서울,강동구,암사동,,고덕로27길,36,024273381,024283383,,,분양,위탁관리,계단식,개별난방,9.0,568,현대건설,동서울아파트 재건축조합,2004-08-27 00:00:00.0,85898.0,48126.0,48126.0,122.0,346.0,100.0,,강동현대홈타운.apti.co.kr,,2026-02-09 06:34:55.0,907-00-29456-1,위탁,종합계약,위탁,0.0,682.0,의무,2013-06-23 14:35:59.0,Y,N,127.1384801,37.5564098,2013-03-07 09:46:30.0,서울특별시 강동구 암사동 400 강동,,,,,N
1176,A12181102,마포태영제2,아파트,서울특별시 마포구 독막로 266,서울,마포구,대흥동,660번지,독막로,266,027186942,027186943,,,임대,위탁관리,복도식,지역난방,2.0,566,태영건설(주),sh공사,1999-11-20 00:00:00.0,34580.0,18338.0,34458.0,566.0,0.0,0.0,,happy.i-sh.co.kr/main.do?deptid=70143,,2026-02-09 05:09:51.0,1058002590,위탁,단일계약,위탁,34579.84,198.0,임대,2015-05-19 17:43:09.0,Y,N,126.9425711,37.5447358,2013-03-07 09:46:30.0,서울특별시 마포구 대흥동 660,서울특별시 마포구 염리동 173-4,192.0,,,N
1177,A12208205,미성아파트(신사동),아파트,서울특별시 은평구 증산로15길 35-10,서울,은평구,신사동,140-1,증산로15길,35-10,023067429,0263837430,4.0,,분양,위탁관리,복도식,개별난방,5.0,570,라이프건설,라이프건설,1987-11-27 00:00:00.0,57427.0,41246.0,55823.0,0.0,570.0,0.0,,,,2026-02-09 04:59:46.0,909-01-13855-1,위탁,종합계약,위탁,4455.46,391.0,의무,2013-06-03 10:35:43.0,Y,N,126.9077834,37.5895119,2013-03-07 09:46:30.0,서울특별시 은평구 신사동 140-1,서울특별시 은평구 신사동 194,53.0,,,N
1178,A13407204,명일신동아,아파트,서울특별시 강동구 고덕로 240,서울,강동구,명일동,신동아아파트,고덕로,240,024289655,024282655,,,분양,자치관리,,중앙난방,7.0,570,신동아건설,신동아건설,1986-02-08 00:00:00.0,77635.0,64435.0,75780.0,0.0,120.0,450.0,0.0,www.gsda.co.kr,,2026-02-09 06:31:32.0,212-80-00809-0,위탁,단일계약,위탁,5588.35,491.0,의무,2015-11-16 13:31:42.0,Y,N,127.1521237,37.5537423,2013-03-07 09:46:30.0,서울특별시 강동구 명일동 44,서울특별시 강동구 명일동 39,99.0,,,N
1179,A15786227,염창동아3차,아파트,서울특별시 강서구 양천로 731,서울,강서구,염창동,,양천로,731,0236623064,0236623065,,,분양,위탁관리,혼합식,개별난방,8.0,570,동아건설,동아건설,1999-01-18 00:00:00.0,87367.0,41219.0,54073.0,285.0,285.0,0.0,,,,2026-02-09 05:22:37.0,907-00-036501-1,위탁,단일계약,위탁,4347.05,601.0,의무,2013-06-23 10:49:56.0,Y,N,126.8776792,37.549794,2013-03-07 09:46:30.0,서울특별시 강서구 염창동 258-1,서울특별시 강서구 염창동 45-4,102.0,,,N
1180,A13594701,한솔마을,아파트,서울특별시 강남구 광평로10길 6,서울,강남구,일원동,731,광평로10길,6,024514250,0222261420,119.0,,분양,자치관리,계단식,지역난방,19.0,570,"(주)건영,삼익주택,라이프주택","건영종합건설, 삼익주택,라이프주택",1994-06-03 00:00:00.0,66076.0,45360.0,54686.0,0.0,570.0,0.0,,,,2026-02-09 06:21:06.0,21380026590,직영,단일계약,위탁,54685.9,459.0,의무,2013-06-23 14:24:23.0,Y,N,127.0767604,37.4819987,2013-03-07 09:46:30.0,서울특별시 강남구 일원동 731,서울특별시 강남구 일원동 736,90.0,,,N
1181,A13905208,월계6-2초안,아파트,서울특별시 노원구 우이천로 102,서울,노원구,월계동,서울시 노원구 월계2동 924번지,우이천로,102,029956092,029956093,,,분양,위탁관리,복도식,중앙난방,4.0,571,도시개발공사,삼익건설,1997-11-20 00:00:00.0,47158.0,28253.0,40812.0,571.0,0.0,0.0,,,,2026-02-09 04:46:47.0,907-00-31201-1,위탁,단일계약,위탁,0.0,299.0,의무,2017-09-20 11:43:55.0,Y,N,127.0429362,37.6313268,2013-03-07 09:46:30.0,서울특별시 노원구 월계동 924,서울특별시 도봉구 창동 504-33,41.0,,,N
1182,A13482505,명일동우성,아파트,서울특별시 강동구 고덕로62길 76,서울,강동구,명일동,356,고덕로62길,76,024283095,0264123095,,,분양,위탁관리,계단식,중앙난방,8.0,572,우성건설,우성건설,1986-05-23 00:00:00.0,76114.0,64170.0,75544.0,0.0,252.0,320.0,,,,2026-02-09 06:31:42.0,90700287571,위탁,,위탁,0.0,640.0,의무,2013-06-23 14:35:51.0,Y,N,127.1521714,37.5509218,2013-03-07 09:46:30.0,서울특별시 강동구 명일동 42,서울특별시 강동구 명일동 39,99.0,,,N
1183,A13183504,면목늘푸른동아아파트,아파트,서울특별시 중랑구 동일로 476,서울,중랑구,면목동,715번지,동일로,476,0222084353,0222084354,,,분양,위탁관리,혼합식,개별난방,4.0,573,동아건설산업(주),면목동 강호.동일연합재건축조합,2002-11-30 00:00:00.0,73968.0,43773.0,57675.0,275.0,222.0,76.0,,,,2026-02-09 04:27:50.0,20480037990,위탁,종합계약,위탁,0.0,0.0,의무,2013-06-23 14:53:28.0,Y,N,127.0806504,37.572881,2013-03-07 09:46:30.0,서울특별시 중랑구 면목동 715,서울특별시 중랑구 면목동 380,98.0,,,N
1184,A12109002,염리삼성래미안,아파트,서울특별시 마포구 숭문길 58,서울,마포구,염리동,520번지,숭문길,58,027116316,027116317,,,분양,위탁관리,혼합식,개별난방,9.0,574,(주)삼성물산,염리동재개발조합,2001-03-28 00:00:00.0,82438.0,46238.0,60013.0,236.0,221.0,117.0,,,,2026-02-09 05:10:04.0,90700344601,위탁,종합계약,위탁,0.0,683.0,의무,2013-06-23 15:22:03.0,Y,N,126.9467985,37.5489719,2013-03-07 09:46:29.0,서울특별시 마포구 염리동 520,서울특별시 마포구 대흥동 51,66.0,,,N
1185,A15001016,여의도대교,아파트,서울특별시 영등포구 국제금융로7길 20,서울,영등포구,여의도동,,국제금융로7길,20,027820092,027803885,495.0,,분양,자치관리,혼합식,지역난방,4.0,576,삼익주택,삼익주택,1975-09-29 00:00:00.0,71820.0,64985.0,69587.0,0.0,0.0,480.0,,,,2026-02-09 05:43:56.0,11680004610,위탁,,위탁,5414.68,0.0,의무,2013-05-07 18:49:41.0,Y,N,126.9336795,37.5221527,2013-03-07 09:46:29.0,서울특별시 영등포구 여의도동 41,서울특별시 영등포구 여의도동 40-3,133.0,,,N
1186,A14380211,워커힐아파트,아파트,서울특별시 광진구 아차산로 637,서울,광진구,광장동,145-8,아차산로,637,024448132,024570136,,,분양,자치관리,계단식,중앙난방,14.0,576,SK건설,워커힐호텔,1978-11-13 00:00:00.0,128992.0,109302.0,123531.0,0.0,0.0,0.0,,walkerhill.apti.co.kr,,2026-02-09 04:18:52.0,2068273086,직영,종합계약,직영,0.0,0.0,의무,2017-05-10 13:03:21.0,Y,N,127.1065657,37.5502689,2013-03-07 09:46:29.0,서울특별시 광진구 광장동 145-8,서울특별시 광진구 광장동 389-1,31.0,,,N
1187,A13885102,한양아파트,아파트,서울특별시 송파구 가락로 187,서울,송파구,송파동,서울특별시 송파구 송파1동 119번지,가락로,187,0264122228,024143783,,,분양,위탁관리,혼합식,지역난방,6.0,576,(주)한양건설,(주)한양건설,1983-12-21 00:00:00.0,76553.0,67217.0,76553.0,0.0,145.0,143.0,,,,2026-02-09 06:24:53.0,907-00-31963-1,위탁,단일계약,위탁,0.0,542.0,의무,2013-06-12 10:35:51.0,Y,N,127.1150497,37.5058734,2013-03-07 09:46:29.0,서울특별시 송파구 송파동 119,서울특별시 송파구 송파동 114,61.0,,,N
1188,A15088717,여의도미성,아파트,서울특별시 영등포구 의사당대로 110,서울,영등포구,여의도동,37,의사당대로,110,027839634,027614264,,,분양,자치관리,혼합식,지역난방,5.0,577,(주)라이프 주택,모름,1978-05-24 00:00:00.0,70062.0,66453.0,70062.0,0.0,0.0,409.0,,,,2026-02-09 05:44:22.0,107-82-610410,위탁,단일계약,위탁,0.0,0.0,의무,2016-10-26 09:57:01.0,Y,N,126.9239858,37.5204822,2013-03-07 09:46:57.0,서울특별시 영등포구 여의도동 37,서울특별시 영등포구 여의도동 38,66.0,,,N
1189,A14086001,청화아파트,아파트,서울특별시 용산구 장문로 27,서울,용산구,이태원동,,장문로,27,027954420,027939883,,,분양,위탁관리,혼합식,중앙난방,9.0,578,청화기업,청화기업,1982-09-18 00:00:00.0,94189.0,81504.0,89586.0,0.0,0.0,194.0,,chungwha1982@naver.com,,2026-02-09 04:11:48.0,10680001630,직영,단일계약,위탁,0.0,395.0,의무,2017-10-18 18:00:44.0,Y,N,126.9948167,37.5299597,2013-03-07 09:46:29.0,서울특별시 용산구 이태원동 22-2,서울특별시 용산구 서빙고동 235-1,43.0,,,N
1189,A14086001,청화아파트,아파트,서울특별시 용산구 장문로 27,서울,용산구,이태원동,,장문로,27,027954420,027939883,,,분양,위탁관리,혼합식,중앙난방,9.0,578,청화기업,청화기업,1982-09-18 00:00:00.0,94189.0,81504.0,89586.0,0.0,0.0,194.0,,chungwha1982@naver.com,,2026-02-09 04:11:48.0,10680001630,직영,단일계약,위탁,0.0,395.0,의무,2017-10-18 18:00:44.0,Y,N,126.9948167,37.5299597,2013-03-07 09:46:29.0,서울특별시 용산구 이태원동 22-2,서울특별시 용산구 이태원동 406,47.0,,,N
1190,A13980415,공릉두산힐스빌,아파트,서울특별시 노원구 공릉로 126,서울,노원구,공릉동,공릉2동 747번지,공릉로,126,029774215,029774216,,,분양,위탁관리,계단식,개별난방,8.0,579,두산건설주식회사,신일연립주택조합,2000-10-18 00:00:00.0,83951.0,46870.0,61121.0,202.0,266.0,111.0,,공릉두산힐스빌.apti.co.kr,,2026-02-09 04:48:54.0,909-01-36291-1,위탁,단일계약,위탁,4450.41,651.0,의무,2018-11-15 13:55:42.0,Y,N,127.0797595,37.6209072,2013-03-07 09:46:29.0,서울특별시 노원구 공릉동 747,서울특별시 노원구 공릉동 250-5,104.0,,,N
1191,A15286806,중앙구로하이츠,아파트,서울특별시 구로구 구일로8길 92,서울,구로구,구로동,685-124 중앙구로하이츠 관리사무소,구일로8길,92,028673423,028673421,,,분양,위탁관리,복도식,중앙난방,6.0,579,(주)중앙개발,(주)중앙개발,1987-11-17 00:00:00.0,56324.0,42918.0,42918.0,63.0,516.0,0.0,,,,2026-02-09 05:35:22.0,90700333751,위탁,단일계약,위탁,3991.0,408.0,의무,2015-01-20 15:26:46.0,Y,N,126.8762765,37.4968215,2013-03-07 09:46:29.0,서울특별시 구로구 구로동 685-124,서울특별시 구로구 구로동 685-221,130.0,,,N
1192,A13392307,강변건영,아파트,서울특별시 성동구 왕십리로 36,서울,성동구,성수동1가,건영아파트,왕십리로,36,024627061,024627062,,,분양,위탁관리,계단식,개별난방,6.0,580,(주)건영,LIG,2002-02-19 00:00:00.0,79253.0,48784.0,62546.0,0.0,580.0,0.0,,,,2026-02-09 04:17:16.0,6078287181-0,위탁,종합계약,위탁,0.0,660.0,의무,2016-05-10 15:39:03.0,Y,N,127.0451083,37.5403701,2013-03-07 09:46:29.0,서울특별시 성동구 성수동1가 710 강변,,,,,N
1193,A14381512,광장현대5단지,아파트,서울특별시 광진구 아차산로70길 61,서울,광진구,광장동,광장현대아파트,아차산로70길,61,024582778,024473655,,,분양,위탁관리,혼합식,개별난방,6.0,581,현대건설(주),현대건설직장조합주택,1989-04-21 00:00:00.0,60508.0,43756.0,43770.0,171.0,410.0,0.0,,,,2026-02-09 04:19:19.0,,직영,단일계약,위탁,3096.0,430.0,의무,2015-10-16 10:18:20.0,Y,N,127.0998456,37.5396425,2013-03-07 09:46:29.0,서울특별시 광진구 광장동 554-7,서울특별시 광진구 광장동 554,140.0,,,N
1194,A13309102,금호삼성래미안,아파트,서울특별시 성동구 독서당로 343,서울,성동구,금호동1가,,독서당로,343,0264511500,0264511501,,,분양,자치관리,계단식,개별난방,11.0,582,삼성물산주식회사,금호제12구역 재개발조합,2001-10-31 00:00:00.0,87175.0,46922.0,58901.0,234.0,232.0,116.0,,금호삼성래미안.apti.co.kr,,2026-02-09 04:14:48.0,20680018600,직영,단일계약,직영,5030.28,691.0,의무,2013-06-23 14:44:18.0,Y,N,127.027307,37.5495792,2013-03-07 09:46:57.0,서울특별시 성동구 금호동1가 1500 금호 삼성래미안,,,,,N
1195,A13286107,쌍문한양6차,아파트,서울특별시 도봉구 시루봉로 58,서울,도봉구,쌍문동,시루봉로 58,시루봉로,58,029917809,0262217809,195.0,FILE_0000000000basic,분양,위탁관리,계단식,개별난방,6.0,582,(주)한양,연합주택조합,2002-03-26 00:00:00.0,62257.0,48822.0,61737.0,0.0,582.0,0.0,,쌍문한양6차.apti.co.kr,,2026-02-09 04:42:13.0,210-80-00889-0,위탁,단일계약,위탁,5492.43,429.0,의무,2016-11-23 15:46:31.0,Y,N,127.0291405,37.6557438,2013-03-07 09:46:57.0,서울특별시 도봉구 쌍문동 59-5 쌍문6차,,,,,N
1196,A13590602,압구정한양3단지,아파트,서울특별시 강남구 압구정로 401,서울,강남구,압구정동,한양제3단지아파트,압구정로,401,025437937,025498972,5.0,,분양,자치관리,혼합식,지역난방,6.0,582,한양주택,한양주택,1979-11-13 00:00:00.0,75262.0,67911.0,74751.0,0.0,4.0,428.0,,압구정한양3단지.apti.co.kr,,2026-02-09 06:19:21.0,21182602820,직영,종합계약,위탁,0.0,691.0,의무,2015-04-22 10:16:02.0,Y,N,127.0419778,37.5290496,2013-03-07 09:46:57.0,서울특별시 강남구 압구정동 513,서울특별시 강남구 청담동 142,63.0,,,N
1197,A13122104,상봉태영데시앙,아파트,서울특별시 중랑구 상봉중앙로8길 104,서울,중랑구,상봉동,,상봉중앙로8길,104,0234221925,0234224584,303.0,,분양,위탁관리,계단식,개별난방,11.0,582,(주)태영,(주)태영,2003-08-05 00:00:00.0,82567.0,46938.0,62110.0,98.0,484.0,0.0,,,,2026-02-09 04:28:33.0,90800913501,위탁,종합계약,위탁,4343.0,635.0,의무,2013-05-07 18:49:25.0,Y,N,127.0926848,37.6033569,2013-03-07 09:46:57.0,서울특별시 중랑구 상봉동 497,서울특별시 중랑구 신내동 531,143.0,,,N
1198,A13384403,옥수극동그린아파트,아파트,서울특별시 성동구 독서당로 175,서울,성동구,옥수동,436번지,독서당로,175,0222960443,0222960058,,,기타,위탁관리,혼합식,개별난방,5.0,583,극동건설,극동건설,1997-10-02 00:00:00.0,69364.0,43289.0,56166.0,247.0,146.0,190.0,,,,2026-02-09 04:16:29.0,20682614980,위탁,단일계약,위탁,0.0,468.0,의무,2013-06-23 14:44:15.0,Y,N,127.0100138,37.5419656,2013-03-07 09:46:57.0,서울특별시 성동구 옥수동 436,서울특별시 성동구 옥수동 233-16,105.0,,,N
1199,A11054301,창신쌍용1단지,아파트,서울특별시 종로구 동망산길 19,서울,종로구,창신동,쌍용아파트,동망산길,19,027471554,027471553,,,분양,자치관리,혼합식,개별난방,5.0,585,쌍용건설,창신 제1-2 재개발조합,1992-11-25 00:00:00.0,59333.0,43751.0,58720.0,201.0,306.0,78.0,,,,2026-02-09 04:03:12.0,10182614180,위탁,단일계약,위탁,4704.5,306.0,의무,2015-04-21 16:38:33.0,Y,N,127.0140195,37.5805173,2013-03-07 09:46:57.0,서울특별시 종로구 창신동 702 창신쌍용아파트,,,,,N
